Opponent Decklist,Result
Acquisitions Expert | Memnite | Phyrexian Tower,1.0
Agent of Treachery | Flash | Saprazzan Skerry,1.0
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",1.0
"Ajani, Nacatl Pariah | Hostile Hostel | Karakas",1.0
"Ajani, Nacatl Pariah | Karakas | Mox Pearl",1.0
"Ajani, Nacatl Pariah | Mox Pearl | Mutavault",1.0
"Ajani, Nacatl Pariah | Remote Farm | White Orchid Phantom",1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Alpine Moon | Sleep-Cursed Faerie | Volcanic Island,0.0
Ancient Spring | Chancellor of the Forge | Gerrard's Verdict,1.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,0.0
Animate Dead | Harvester of Misery | Peat Bog,1.0
Arcbound Slith | City of Traitors | Disruptor Flute,0.5
Argent Dais | Inkmoth Nexus | Mox Pearl,0.5
Assassin's Trophy | Golgari Rot Farm | Treetop Village,1.0
Badlands | Encroach | Stromkirk Noble,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Basking Rootwalla | Blazing Rootwalla | Taiga,1.0
Battlefly Swarm | Encroach | Swamp,0.0
Bayou | Hexdrinker | Thoughtseize,0.5
Bayou | Scythe Tiger | Thoughtseize,0.5
Black Market Connections | Peat Bog | Vault of the Archangel,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.5
Bonesplitter | Ocelot Pride | Plains,0.0
Bottomless Vault | Nether Spirit | Pox,1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Bottomless Vault | Reassembling Skeleton | Sheoldred's Edict,-0.5
Brain Maggot | Mox Jet | Rishadan Port,0.0
"Bristly Bill, Spine Sower | Quirion Ranger | Savannah",1.0
Butcher Ghoul | Flare of Malice | Peat Bog,1.0
Cavern of Souls | Flare of Malice | Nezumi Linkbreaker,1.0
Cavern of Souls | Maze of Ith | Sleep-Cursed Faerie,0.0
Cenn's Tactician | Gleeful Demolition | Rustvale Bridge,1.0
Cenn's Tactician | Karakas | Leyline of Singularity,0.0
Cenn's Tactician | Path to Exile | Plains,1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,1.0
Chancellor of the Forge | Foil | Island,1.0
Chancellor of the Forge | Fury | Mercadian Bazaar,1.0
Charmbreaker Devils | Lightning Bolt | Mercadian Bazaar,1.0
City of Traitors | Damping Sphere | Soldevi Sentry,0.0
City of Traitors | Deflecting Palm | Isochron Scepter,1.0
City of Traitors | Disruptor Flute | Drillworks Mole,0.5
City of Traitors | Disruptor Flute | Hex Parasite,0.5
City of Traitors | Disruptor Flute | Idol of False Gods,0.0
City of Traitors | Disruptor Flute | Memnite,0.0
City of Traitors | Disruptor Flute | Phyrexian Revoker,-0.5
City of Traitors | Disruptor Flute | Steel Overseer,0.5
City of Traitors | Drillworks Mole | Sphere of Resistance,0.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,1.0
City of Traitors | Epochrasite | Jinxed Idol,1.0
City of Traitors | Field of Ruin | Idol of False Gods,0.0
City of Traitors | Field of Ruin | Phyrexian Revoker,-0.5
City of Traitors | Idol of False Gods | The Filigree Sylex,0.5
